"","x"
"1","Balistidae"
"2","Pomacentridae"
"3","Monacanthidae"
"4","Serranidae"
"5","Plesiopidae"
"6","Scombridae"
"7","Sparidae"
"8","Acanthuridae"
"9","Labridae"
"10","Centriscidae"
"11","Myliobatidae"
"12","Elapidae"
"13","Albulidae"
"14","Carangidae"
"15","Diodontidae"
"16","Alopiidae"
"17","Gobiidae"
"18","Pleuronectidae"
"19","Terapontidae"
"20","Aracanidae"
"21","Lutjanidae"
"22","Aplodactylidae"
"23","Apogonidae"
"24","Pomacanthidae"
"25","Rhinobatidae"
"26","Congridae"
"27","Tetraodontidae"
"28","Arripidae"
"29","Blenniidae"
"30","Scyliorhinidae"
"31","Atherinidae"
"32","Aulostomidae"
"33","Dasyatidae"
"34","Belonidae"
"35","Scaridae"
"36","Bothidae"
"37","Caesionidae"
"38","Caesioscorpididae"
"39","Ostraciidae"
"40","Carcharhinidae"
"41","Odontaspididae"
"42","Lamnidae"
"43","Berycidae"
"44","Chaetodontidae"
"45","Chanidae"
"46","Cheilodactylidae"
"47","Triglidae"
"48","Cheloniidae"
"49","Hemiscylliidae"
"50","Chirocentridae"
"51","Chironemidae"
"52","Clinidae"
"53","Cirrhitidae"
"54","-"
"55","Clupeidae"
"56","Pseudochromidae"
"57","Syngnathidae"
"58","Haemulidae"
"59","Dinolestidae"
"60","Grammistidae"
"61","Dugongidae"
"62","Echeneidae"
"63","Elopidae"
"64","Enoplosidae"
"65","Fistulariidae"
"66","Triakidae"
"67","Gerreidae"
"68","Girellidae"
"69","Glaucosomatidae"
"70","Lethrinidae"
"71","Microdesmidae"
"72","Muraenidae"
"73","Sebastidae"
"74","Hemigaleidae"
"75","Hemiramphidae"
"76","Heterodontidae"
"77","Soleidae"
"78","Odacidae"
"79","Malacanthidae"
"80","Hydrophiidae"
"81","Kyphosidae"
"82","Aulopidae"
"83","Dideminidae"
"84","Majidae"
"85","Moridae"
"86","Microcanthidae"
"87","Mobulidae"
"88","Mullidae"
"89","Ophichthidae"
"90","Holocentridae"
"91","Ginglymostomatidae"
"92","Nemipteridae"
"93","Tetrarogidae"
"94","Otariidae"
"95","Neosebastidae"
"96","Ariidae"
"97","Hexanchidae"
"98","Octopodidae"
"99","Opistognathidae"
"100","Oplegnathidae"
"101","Orectolobidae"
"102","Paguiridae"
"103","Pinguipedidae"
"104","Plotosidae"
"105","Parascylliidae"
"106","Pentacerotidae"
"107","Pempheridae"
"108","Ephippidae"
"109","Platycephalidae"
"110","Pomatomidae"
"111","Priacanthidae"
"112","Pristiophoridae"
"113","Latidae"
"114","Paralichthyidae"
"115","Scorpaenidae"
"116","Rachycentridae"
"117","Rhinidae"
"118","Rhinopteridae"
"119","Peristediidae"
"120","Synodontidae"
"121","Monodactylidae"
"122","Scorpididae"
"123","Scatophagidae"
"124","Sepiidae"
"125","Loliginidae"
"126","Siganidae"
"127","Sillaginidae"
"128","Sphyraenidae"
"129","Sphyrnidae"
"130","Squatinidae"
"131","Stegostomatidae"
"132","Gempylidae"
"133","Trichiuridae"
"134","Trichonotidae"
"135","Urolophidae"
"136","Zanclidae"
"137","Zeidae"
"138","ACANTHURIDAE"
"139","BALISTIDAE"
"140","SERRANIDAE"
"141","LABRIDAE"
"142","LETHRINIDAE"
"143","CARANGIDAE"
"144","LUTJANIDAE"
"145","Gadidae"
"146","Lotidae"
"147","Squalidae"
"148","Strongylocentrotidae"
"149","Rajidae"
"150","Cancridae"
"151","Echinidae"
"152","Unknown Gadidae"
"153","Unknown Labridae"
"154",NA
"155","Trachinidae"
"156","Leiognathidae"
"157","Opisthognathidae"
"158","Pempherididae"
"159","Pristidae"
"160","Unknown"
"161","Oneirodidae"
"162","Chelonidae"
"163","Callionymidae"
