"","x"
"1","Nomeidae"
"2","Istiophoridae"
"3","Scombridae"
"4","Carangidae"
"5","Coryphaenidae"
"6","Myliobatidae"
"7","Echeneidae"
"8","Delphinidae"
"9","Carcharhinidae"
"10","Sphyrnidae"
"11","Cheloniidae"
"12","Exocoetidae"
"13","Monacanthidae"
"14","Lamnidae"
"15","Balistidae"
"16","Molidae"
"17","Caproidae"
"18","Centriscidae"
"19","Centrolophidae"
"20","Dasyatidae"
"21","Ommastrephidae"
"22","Clupeidae"
"23","Blenniidae"
"24","Fistulariidae"
"25","Belonidae"
"26","Priacanthidae"
"27","Acanthuridae"
"28","Lutjanidae"
"29","Scaridae"
"30","Labridae"
"31","Sphyraenidae"
"32","Rhincodontidae"
"33","Mullidae"
"34","Chaetodontidae"
"35","Ziphiidae"
"36","Tetraodontidae"
"37","Rachycentridae"
"38","Balaenopteridae"
"39","Syngnathidae"
"40","Kyphosidae"
"41","Sparidae"
"42","Loliginidae"
"43","Caesionidae"
"44","Elapidae"
"45","Callionymidae"
"46","Brachyura"
"47","Aulostomidae"
"48","Engraulidae"
"49","Chanidae"
"50","Nematistiidae"
"51","Apogonidae"
"52","Order:Teuthida (Mollusca - Cephalopoda)"
"53","Macroramphosidae"
"54","Otariidae"
"55","Ephippidae"
"56","Class:Hydrozoa (Cnidaria)"
"57","Class:Scyphozoa (Cnidaria)"
"58","Veliferidae"
"59","Sapphirinidae"
"60","Serranidae"
"61","Mobulidae"
"62","Zanclidae"
"63","Pomacanthidae"
