ID,ObjectID,CITY_NAME,GMI_ADMIN,ADMIN_NAME,FIPS_CNTRY,CNTRY_NAME,STATUS,POP,POP_RANK,POP_CLASS,PORT_ID,LABEL_FLAG,X,Y,geometry_x,geometry_y
1,0,Cuiaba,BRA-MGR,Mato Grosso,BR,Brazil,Provincial capital,521934,3,"500,000 to 999,999",0,0,-56.09300364,-15.61499999,c(-56.0930036363636, -15.6149999867526)
2,1,Brasilia,BRA-DFD,Distrito Federal,BR,Brazil,National and provincial capital,2207718,2,"1,000,000 to 4,999,999",0,0,-47.89774764,-15.79211099,c(-47.8977476363636, -15.7921109866872)
3,2,Goiania,BRA-GOI,Goias,BR,Brazil,Provincial capital,1171195,2,"1,000,000 to 4,999,999",0,0,-49.25500164,-16.72700399,c(-49.2550016363636, -16.7270039863813)
4,3,Campo Grande,BRA-MGD,Mato Grosso do Sul,BR,Brazil,Provincial capital,729151,3,"500,000 to 999,999",0,0,-54.61599564,-20.45099699,c(-54.6159956363636, -20.4509969858024)
5,4,Pedro Juan Caballero,PRY-AMM,Amambay,PA,Paraguay,Provincial capital,68480,7,"Less than 50,000",0,0,-55.74799764,-22.53300299,c(-55.7479976363636, -22.5330029858996)
6,5,Salto del Guaira,PRY-CNN,Canindeyu,PA,Paraguay,Provincial capital,7385,7,"Less than 50,000",0,0,-54.28330164,-24.04999799,c(-54.2833016363636, -24.0499979861406)
7,6,Puerto Presidente Stroessner,PRY-APA,Alto Parana,PA,Paraguay,Provincial capital,882700,7,"Less than 50,000",0,0,-54.62299764,-25.52699699,c(-54.6229976363636, -25.5269969864983)
8,7,Encarnacion,PRY-ITA,Itapua,PA,Paraguay,Provincial capital,74983,6,"50,000 to 99,999",0,0,-55.85100264,-27.37700099,c(-55.8510026363636, -27.3770009870948)
9,8,Posadas,ARG-MSN,Misiones,AR,Argentina,Provincial capital,312060,4,"250,000 to 499,999",0,0,-55.90600164,-27.39799799,c(-55.9060016363636, -27.3979979871024)
10,9,Puerto Maldonado,PER-MDD,Madre de Dios,PE,Peru,Provincial capital,37543,7,"Less than 50,000",0,0,-69.19199964,-12.60299699,c(-69.1919996363636, -12.602996988221)
11,10,Cuzco,PER-CUS,Cusco,PE,Peru,Provincial capital,312140,4,"250,000 to 499,999",0,0,-71.98700364,-13.52600099,c(-71.9870036363636, -13.5260009877002)
12,11,Abancay,PER-APR,Apurimac,PE,Peru,Provincial capital,55111,6,"50,000 to 99,999",0,0,-72.88399764,-13.64200199,c(-72.8839976363636, -13.6420019876391)
13,12,Puno,PER-PUN,Puno,PE,Peru,Provincial capital,116552,5,"100,000 to 249,999",0,1,-70.03400364,-15.84500399,c(-70.0340036363637, -15.8450039866682)
14,13,Arequipa,PER-ARQ,Arequipa,PE,Peru,Provincial capital,841130,3,"500,000 to 999,999",0,1,-71.52299964,-16.39799999,c(-71.5229996363637, -16.3979999864815)
15,14,La Paz,BOL-LPA,La Paz,BL,Bolivia,National and provincial capital,812799,3,"500,000 to 999,999",0,1,-68.14624464,-16.49900699,c(-68.1462446363636, -16.4990069864498)
16,15,Mata-Utu,WLF,Wallis & Futuna,WF,Wallis & Futuna,National and provincial capital,1124,7,"Less than 50,000",55650,0,-176.1735012,-13.28139083,c(-176.173501168772, -13.2813908264756)
17,16,Apia,WSM,Samoa,WS,Samoa,National capital,40407,7,"Less than 50,000",55670,0,-171.7757333,-13.83581415,c(-171.775733269643, -13.8358141475675)
18,17,Pago Pago,ASM,American Samoa,AQ,American Samoa,National and provincial capital,4196,7,"Less than 50,000",55680,0,-170.6978606,-14.26837499,c(-170.697860636364, -14.2683749873263)
19,18,Papeete,PYF,French Polynesia,FP,French Polynesia,National and provincial capital,26357,7,"Less than 50,000",55840,0,-149.5676584,-17.54037811,c(-149.56765841326, -17.5403781104506)
20,19,Alofi,NIU,Niue,NE,Niue,National and provincial capital,624,7,"Less than 50,000",55695,0,-169.9166696,-19.01666699,c(-169.916669636364, -19.0166669859066)
21,20,Nuku' alofa,TON,Tonga,TN,Tonga,National capital,22400,7,"Less than 50,000",55590,0,-175.2456506,-21.13090199,c(-175.245650636364, -21.1309019858028)
22,21,Avarua,COK,Cook Is.,CW,Cook Is.,National and provincial capital,13373,7,"Less than 50,000",0,0,-159.7666946,-21.23330399,c(-159.766694636364, -21.2333039858056)
23,22,Adamstown,PCN,Pitcairn Is.,PC,Pitcairn Is.,National and provincial capital,1281,7,"Less than 50,000",0,0,-130.1030006,-25.06599899,c(-130.103000636364, -25.0659989863745)
