"","ID","X","ISO_SOV1","SOVEREIGN1","New.OpCode","X5STRING","Exped.","Location.x","Sublocation","SAUP.Cell","IUCN","Protection","USE.","Grounded.","Date","Year","Month","Long.in","Lat.in","Long.out","Lat.out","Time.In","Time.Out","EM.who","EM.date","PM.who","PM.date","ID.check","Field.comments","Processing.comments","OpCode","Camera.Depth..m.","Rig.","Site.Rig","Converted","Video.file","Left.Camera","Right.Cam","Site","Code","Distance.from.summit","Direction","Initial.obs","Vessel","HD.Num","Bait","Gear","Have.Lengths.","Have.MaxN.","Status","Seabed.depth..m.","Zone","Crew","Species","CTD","Water.sample.metadata","Project","Project.1","Wpt","Habitat.taken","Habitat.type","Total.time.Processed.for.MaxN","Location.y","GEONAME","TERRITORY1","conflicts","RuleofLaw_mean","NoViolence_mean","GovernmentEffectiveness_mean","Voice_mean","Corruption_mean","HDI_mean","Country","NGO","MarineEcosystemDependency","SAU","TravelTime_market","LinearDistcities","TravelTime_pop","LinearDistpop","FE_PurseSeine","FE_DriftingLongline","FE_FixedGear","FE_OtherFishing","FE_Trawlers","distPort","distSeamounts","distCoralReef","Bathymetry","Slope","distCoast","PP","CHL","SST_mean","SST_sd","protection"
"1",1,1697,"AUS","Australia","BRE19_001","BRE19_01","Bremer 2019","Bremer","Central",NA,"VI","In","Yes","no","06/03/2019",2019,"Mar",119.634028,-34.70039098,"119.62773","-34.70455301","58:00.0","02:00.0","CR","09/05/2019","CR","43594","VS","","","BRE19_001","","25","","Yes","","213","214","","","","","","Big Dreams","","Pilchards","","BRE19_001","BRE19_001","Done_EMPM","","","","","CTD 2 + Boy","","","GWOT","",NA,NA,NA,"Bremer","Australian Exclusive Economic Zone","Australia",1,1.78,0.98,1.59,1.4,1.85,0.933,"Australia",699,0.095532,304.7643406,613.3990617,456214.5235,97.5807358,31883.08778,NA,NA,NA,NA,NA,155.830719,241377.4235,487214.0974,-369.8221436,89.99633789,32666.94092,352.102417,0.213719025,19.3203125,1.3221277,"Not reported"
"2",6,1702,"AUS","Australia","BRE19_006","BRE19_02","Bremer 2019","Bremer","Central",NA,"VI","In","Yes","no","06/03/2019",2019,"Mar",119.679331,-34.70491502,"119.670075","-34.70804298","30:00.0","48:00.0","CR","13/05/2019","N/A","N/A","N/A","","No fish","BRE19_006","","1.1","","Yes","","224","225","","","","","","Big Dreams","","Pilchards","","#N/A","#N/A","Done_EM","","","","","","","","GWOT","",NA,NA,NA,"Bremer","Australian Exclusive Economic Zone","Australia",1,1.78,0.98,1.59,1.4,1.85,0.933,"Australia",699,0.095532,304.7643406,618.3696244,459937.3069,105.2132034,33816.41562,NA,NA,NA,NA,NA,160.2676544,241802.7222,491025.3868,-814.4840088,89.99918365,34531.36831,349.8179016,0.212024882,19.29624939,1.338685036,"Not reported"
"3",11,1707,"AUS","Australia","BRE19_011","BRE19_03","Bremer 2019","Bremer","Central",NA,"II","In","Yes","no","06/03/2019",2019,"Mar",119.685346,-34.74267298,"119.677432","-34.748501","31:00.0","41:00.0","CR","13/05/2019","CR","43598","AJ","","T. maccoyii school. Bronze whaler (can't get accurate PM on shark)","BRE19_011","","5.1","","Yes","","245","246","","","","","","Big Dreams","","Pilchards","","BRE19_011","BRE19_011","Done_EMPM","","","","","","","","GWOT","",NA,NA,NA,"Bremer","Australian Exclusive Economic Zone","Australia",1,1.78,0.98,1.59,1.4,1.85,0.933,"Australia",699,0.095532,304.7643406,631.6122651,462861.8632,117.5512986,37834.35156,NA,NA,NA,NA,NA,160.1644135,238045.3047,493840.8034,-1755.055664,89.9980011,38548.47178,342.58078,0.206053466,19.17453003,1.42445755,"Not reported"
"4",20,1716,"AUS","Australia","BRE19_020","BRE19_04","Bremer 2019","Bremer","Central",NA,"II","In","Yes","no","06/03/2019",2019,"Mar",119.730431,-34.74952804,"119.726907","-34.75141003","13:00.0","35:00.0","CR","14/05/2019","CR","43599","VS","","","BRE19_020","","25","","Yes","","243","244","","","","","","Big Dreams","","Pilchards","","BRE19_020","BRE19_020","Done_EMPM","","","","","CTD 2 + Boy","","","GWOT","",NA,NA,NA,"Bremer","Australian Exclusive Economic Zone","Australia",1,1.78,0.98,1.59,1.4,1.85,0.933,"Australia",699,0.095532,304.7643406,639.5828278,466717.9576,126.4264069,39461.37219,NA,NA,NA,NA,NA,163.5148315,238332.9949,497776.5469,-1864.285767,89.99707031,40207.99855,340.2853699,0.204775795,19.11218643,1.462677956,"Not reported"
"5",21,1717,"AUS","Australia","BRE19_021","BRE19_05","Bremer 2019","Bremer","East",NA,"II","In","Yes","no","07/03/2019",2019,"Mar",119.971009,-34.67691301,"119.990706","-34.66676898","37:00.0","44:00.0","CR","14/05/2019","N/A","N/A","N/A","LHS short","No fish","BRE19_021","","5.1","","Yes","","184","185","","","","","","Big Dreams","","Pilchards","","#N/A","#N/A","Done_EM","","","","","","","","GWOT","",NA,NA,NA,"Bremer","Australian Exclusive Economic Zone","Australia",1,1.78,0.98,1.59,1.4,1.85,0.933,"Australia",699,0.095532,304.7643406,668.5950212,480625.6606,139.2792206,45317.88793,NA,NA,NA,NA,NA,186.5933685,252112.2175,512406.5601,-2037.941528,89.99523163,45989.56388,339.0501709,0.202868223,18.99291611,1.54696691,"Not reported"
"6",26,1601,"AUS","Australia","BRE19_026","BRE19_06","Bremer 2019","Bremer","East",NA,"II","In","Yes","no","07/03/2019",2019,"Mar",120.006656,-34.69141002,"120.029751","-34.67743102","44:00.0","22:00.0","CR","15/05/2019","N/A","N/A","N/A","Picked up flag first","No fish","BRE19_026","","29","","Yes","","196","197","","","","","","Big Dreams","","Pilchards","","#N/A","#N/A","Done_EM","","","","","","","","GWOT","",NA,NA,NA,"Bremer","Australian Exclusive Economic Zone","Australia",1,1.78,0.98,1.59,1.4,1.85,0.933,"Australia",699,0.095532,46.16736842,680.0803025,484308.3784,150.764502,48906.54789,NA,NA,NA,NA,NA,189.9288025,251777.0361,516113.7556,-2077.883789,89.99744415,49569.11738,339.5892639,0.202944785,18.92135429,1.585585594,"Not reported"
"7",31,1728,"AUS","Australia","BRE19_031","BRE19_07","Bremer 2019","Bremer","East",NA,"VI","In","Yes","no","07/03/2019",2019,"Mar",120.012116,-34.60995401,"120.032748","-34.58912096","08:00.0","35:00.0","CR","15/05/2019","CR","43601","ND","Magnadoodle says 036 is really 031","","BRE19_031","","5.1","","Yes","","206","207","","","","","","Big Dreams","","Pilchards","","BRE19_031","BRE19_031","Done_EMPM","","","","","","","","GWOT","",NA,NA,NA,"Bremer","Australian Exclusive Economic Zone","Australia",1,1.78,0.98,1.59,1.4,1.85,0.933,"Australia",699,0.095532,46.16736842,671.8965363,479771.0206,142.5807358,44228.74247,NA,NA,NA,NA,NA,191.9850464,260066.3023,511826.8129,-915.9492188,89.9969101,44822.93748,357.8327637,0.213704348,19.24770737,1.396963835,"Not reported"
"8",36,1733,"AUS","Australia","BRE19_036","BRE19_08","Bremer 2019","Bremer","East",NA,"VI","In","Yes","no","07/03/2019",2019,"Mar",119.965945,-34.60783498,"119.990907","-34.59062803","39:00.0","07:00.0","CR","16/05/2019","CR","43602","VS","","","BRE19_036","","25","","Yes","","234","237","","","","","","Big Dreams","","Pilchards","","BRE19_036","BRE19_036","Done_EMPM","","","","","CTD 2 + Boy","","","GWOT","",NA,NA,NA,"Bremer","Australian Exclusive Economic Zone","Australia",1,1.78,0.98,1.59,1.4,1.85,0.933,"Australia",699,0.095532,304.7643406,656.8965363,475995.8823,127.5807358,40386.3313,NA,NA,NA,NA,NA,188.4456024,258881.6811,507973.3876,-292.8381653,89.9977951,41006.10737,358.0070801,0.214448974,19.27093697,1.377153397,"Not reported"
"9",41,1738,"AUS","Australia","BRE19_041","BRE19_09","Bremer 2019","Bremer","Central",NA,"No","Out","Yes","no","08/03/2019",2019,"Mar",119.566244,-34.74444098,"119.586314","-34.72929496","58:00.0","25:00.0","CR","20/05/2019","CR","43605","ND","Put in water in reverse","","BRE19_041","","25","","Yes","","184","185","","","","","","Big Dreams","","Pilchards","","BRE19_041","BRE19_041","Done_EMPM","","","","","CTD 2 + Boy","","","GWOT","",NA,NA,NA,"Bremer","Australian Exclusive Economic Zone","Australia",1,1.78,0.98,1.59,1.4,1.85,0.933,"Australia",699,0.095532,304.7643406,620.9432175,454051.7253,103.3675324,31805.9219,NA,NA,NA,NA,NA,149.4595947,235615.7235,484744.2927,-624.5635376,89.99654388,32565.9068,348.5201721,0.211447269,19.30057335,1.319066048,"Out"
"10",49,1746,"AUS","Australia","BRE19_049","BRE19_10","Bremer 2019","Bremer","Central",NA,"No","Out","Yes","no","08/03/2019",2019,"Mar",119.576195,-34.78884503,"119.610432","-34.774516","26:00.0","21:00.0","CR","21/05/2019","CR","43606","ND","","","BRE19_049","","2.1","","Yes","","203","204","","","","","","Big Dreams","","Pilchards","","BRE19_049","BRE19_049","Done_EMPM","","","","","","","","GWOT","",NA,NA,NA,"Bremer","Australian Exclusive Economic Zone","Australia",1,1.78,0.98,1.59,1.4,1.85,0.933,"Australia",699,0.095532,304.7643406,632.9432175,457774.8068,115.3675324,36278.31741,NA,NA,NA,NA,NA,149.2128754,231183.6051,488342.9205,-1022.863708,89.99681854,37052.23283,341.5105591,0.206443086,19.23025894,1.374431849,"Out"
