"key" "Exped." "Year" "Month" "Date.x" "Bathymetry" "Slope" "distPort" "distCoast" "FE_DriftingLongline" "FE_OtherFishing" "FE_Trawlers" "FE_FixedGear" "FE_PurseSeine" "TERRITORY1" "RuleofLaw_mean" "NoViolence_mean" "GovernmentEffectiveness_mean" "Voice_mean" "Corruption_mean" "distSeamounts" "MarineEcosystemDependency" "conflicts" "HDI_mean" "SST_mean" "sst_week" "CHL" "SST_sd" "PP" "protection" "distCoralReef" "distMarket" "TravelTime_market" "mean_lat" "mean_long" "mean_maxsize" "std_maxsize" "cv_maxsize" "median_maxsize" "string_number" "mean_meansize" "std_meansize" "cv_meansize" "median_meansize" "mean_mediansize" "std_mediansize" "cv_mediansize" "median_mediansize" "excess_mass" "modes_p_value" "unimode" "first_mode" "second_mode" "betaslope" "betaslope_ci_inf" "betaslope_ci_sup" "bruvs_type"
"1" "2012_Tvedestrand__2012-06-06" "2012_Tvedestrand" 2012 6 "2012-06-06" -12.0714285714286 89.9710213797433 2.45388063362667 500.462177625536 NA NA 0 1.41641668478648 NA "Norway" 1.98 1.24 1.88 1.68 2.2 1022985.32705399 0.252239 0 0.944 11.0917617252895 13.5299997329712 6.87140430722918 1.14742023604257 1458.06609235491 NA 3829948.15497861 30775.9825470497 39.6274169979695 58.5938936129032 9.08947058709678 0.423977172546926 0.241567378611018 0.569765058717356 0.426843050841662 7 0.263791027979944 0.252539880338051 0.95734825506367 0.180485726362903 0.263791027979944 0.252539880338051 0.95734825506367 0.180485726362903 0.120680232073476 0.188 0.126682799112534 NA NA -0.612820194751614 -0.906710194751614 -0.298650194751614 "benthic"
"2" "2012_Tvedestrand__2012-06-07" "2012_Tvedestrand" 2012 6 "2012-06-07" -19.5 89.9137107849121 2.72150722742081 1019.34126400657 NA NA NA 1.63911116123199 NA "Norway" 1.98 1.24 1.88 1.68 2.2 1023677.48597447 0.252239 0 0.944 11.0524329185486 12.1700000762939 6.67109398841858 1.04940104484558 1416.55900878906 NA 3829227.97283823 32284.9296689946 44.8700576850888 58.5907153384615 9.10538800038462 1.19792703978824 0.666692822636253 0.556538754442097 1.47213286049929 9 0.463852419969205 0.38734160136112 0.835053531437511 0.339934917767435 0.463852419969205 0.38734160136112 0.835053531437511 0.339934917767435 0.0768432558015702 0.464 0.194024199520915 NA NA -0.816251138359413 -0.992051138359413 -0.634901138359413 "benthic"
"3" "2012_Tvedestrand__2012-06-08" "2012_Tvedestrand" 2012 6 "2012-06-08" -21.2 89.9269233703613 2.6429434299469 1013.160053718 NA NA 0 0.669912040233612 0 "Norway" 1.98 1.24 1.88 1.68 2.2 1023650.34219626 0.252239 0 0.944 11.1030999183655 13.5299997329712 6.63650088310242 1.09294052124023 1411.35246582031 NA 3829257.63774046 30237.3053305186 39.6274169979695 58.5903144178082 9.10255284671233 1.20749513697632 1.04114748036538 0.862237410721594 0.925499457603143 9 0.347964520319488 0.307880208149495 0.884803450267892 0.305871772757951 0.347964520319488 0.307880208149495 0.884803450267892 0.305871772757951 0.136723686243084 0 0.302960915122116 0.139426703544787 3.69420461964416 -0.977328624910602 -1.1071786249106 -0.846998624910602 "benthic"
"4" "2012_Tvedestrand__2012-06-11" "2012_Tvedestrand" 2012 6 "2012-06-11" -23.7 89.9612312316895 2.45527979135513 1197.5379314299 NA NA 0 0.492305545343293 0 "Norway" 1.98 1.24 1.88 1.68 2.2 1023893.50742906 0.252239 0 0.944 11.0966998100281 13.8099994659424 6.43384833335876 1.05273274183273 1358.29605712891 NA 3829014.59873435 30360.3893691158 42.6274169979695 58.5974182235294 9.11490694058823 2.31908739182175 2.42992507167124 1.04779366238649 1.73017966452836 10 0.468842666471472 0.305799040179353 0.652242344923102 0.548928908734812 0.468842666471472 0.305799040179353 0.652242344923102 0.548928908734812 0.195024905189871 0 0.553315535384935 0.358537546020489 8.80040750957893 -0.953980911853707 -1.05854091185371 -0.848580911853707 "benthic"
"5" "2012_Tvedestrand__2012-06-14" "2012_Tvedestrand" 2012 6 "2012-06-14" -24.875 89.9114475250244 2.60726228356361 1183.56525457153 NA NA 0 0.870400008559227 0 "Norway" 1.98 1.24 1.88 1.68 2.2 1024008.81004615 0.252239 0 0.944 11.0680414438248 13.6016664505005 6.53427910804749 1.05492699146271 1364.39472961426 NA 3828926.22207884 30685.1429351313 43.6274169979695 58.5871482957447 9.10830534212766 1.05483607002447 0.632404744047806 0.599528933470331 0.940681981155616 8 0.542669588146587 0.67944175345649 1.25203580281149 0.335418592595507 0.542669588146587 0.67944175345649 1.25203580281149 0.335418592595507 0.164155906327954 0 0.251147230851338 0.25311917301917 1.85707783789129 -0.816752015691908 -1.00397201569191 -0.623422015691908 "benthic"
"6" "Abrolhos_2007_CMF__2007-05-23" "Abrolhos_2007_CMF" 2007 5 "2007-05-23" -35.6388888888889 89.5944673750136 11.7494667768478 2943.25595635384 NA 0 0 0 0 "Australia" 1.77 0.97 1.62 1.41 1.89 265425.661966369 0.095532 1 0.932 22.5218326250712 22.0112495422363 0.459301388098134 0.544637825753954 484.712893168132 "All" 2484.82826104452 406089.269787518 638.07315985292 -28.6722682920526 113.903334108441 5.16178041899494 9.96773044131297 1.93106440650449 1.77038322190816 36 0.216583818539304 0.481500052574975 2.22315801717013 0.0623253945233429 0.216583818539304 0.481500052574975 2.22315801717013 0.0623253945233429 0.0821078109695374 0 0.321150002583785 0.196953000525502 56.4042355013118 -1.21404649209497 -1.22931649209497 -1.19893649209497 "benthic"
"7" "Abrolhos_2007_CMF__2007-05-24" "Abrolhos_2007_CMF" 2007 5 "2007-05-24" -37.1136363636364 88.4148668809371 18.5125765800476 6959.45203426247 NA NA NA 0 0.149976854974573 "Australia" 1.77 0.97 1.62 1.41 1.89 267445.34827055 0.095532 1 0.932 22.3794083595276 21.8859996795654 0.346071646972136 0.52521127326922 404.34293088046 "All" 5988.04332386705 403720.506811264 626.07315985292 -28.7342938714196 114.003421925016 11.8575184408495 33.4848122564974 2.82393086070534 2.87904172858368 44 0.392308466416455 1.98391051068355 5.05701681333975 0.0870723353394343 0.392308466416455 1.98391051068355 5.05701681333975 0.0870723353394343 0.0734785993696452 0 0.256837488669049 0.217231578816602 210.105741928765 -1.15348545931915 -1.16332545931915 -1.14371545931915 "benthic"
"8" "Abrolhos_2007_CMF__2007-05-25" "Abrolhos_2007_CMF" 2007 5 "2007-05-25" -36.0789473684211 89.4986152648926 14.4241863049959 6147.03174719124 NA NA 0 0 0.100641534796783 "Australia" 1.77 0.97 1.62 1.41 1.89 261444.764751227 0.095532 1 0.932 22.4473677183452 21.9149990081787 0.351476417560326 0.516336056746935 411.004544709858 "All" 4697.4747465087 390690.184537401 600.132034355966 -28.78555494145 113.97169877241 7.97317915586024 14.7070548189497 1.84456595436465 2.8410884393538 38 0.0684620275322167 0.0342305056527323 0.499992578172246 0.0624121824301238 0.0684620275322167 0.0342305056527323 0.499992578172246 0.0624121824301238 0.0434020166593595 0 0.215528263701458 0.173281035550655 80.136279076443 -1.25946875397256 -1.27610875397256 -1.24301875397256 "benthic"
"9" "Abrolhos_2007_CMF__2007-05-26" "Abrolhos_2007_CMF" 2007 5 "2007-05-26" -31.475 89.8630397796631 10.5464366912842 6278.55961726449 NA NA 0 NA 0.133549382289251 "Australia" 1.77 0.97 1.62 1.41 1.89 257336.753652951 0.095532 1 0.932 22.4891827583313 22.2574996948242 0.374733874201775 0.522099235653877 431.098368835449 "All" 5943.73748044021 389154.044498555 605.717820793593 -28.8119788284019 113.948944256687 11.1088850025406 12.8627251786047 1.15787724651601 6.77639567539723 20 0.223946988047372 0.544105200540619 2.42961606800232 0.0348471499194079 0.223946988047372 0.544105200540619 2.42961606800232 0.0348471499194079 0.0993281908794131 0 0.434130395018709 0.281045122025117 45.1315428478207 -1.15846676109524 -1.17734676109524 -1.13977676109524 "benthic"
"10" "Abrolhos_2007_CMF__2007-05-27" "Abrolhos_2007_CMF" 2007 5 "2007-05-27" -31.71875 89.369286775589 7.46742948889732 4012.72737786574 NA 0 0 0 0.141403352841735 "Australia" 1.77 0.97 1.62 1.41 1.89 254753.716664191 0.095532 1 0.932 22.4952910542488 22.1037502288818 0.433017177507281 0.532160250470042 477.103462219238 "All" 3881.70171114068 387273.223113642 617.717820793593 -28.8376180998064 113.94673775552 15.0995766290557 39.9441972064867 2.64538524408844 2.32788528083721 32 0.076585258605362 0.148478791272539 1.93873852457219 0.0379382224449456 0.076585258605362 0.148478791272539 1.93873852457219 0.0379382224449456 0.162475233482835 0 0.201999474463335 0.193762663332322 194.064074165909 -1.16876876152653 -1.18027876152653 -1.15735876152653 "benthic"
