"key" "Exped" "Date" "mean_lat" "mean_long" "mean_maxsize" "std_maxsize" "cv_maxsize" "median_maxsize" "string_number" "mean_meansize" "std_meansize" "cv_meansize" "median_meansize" "mean_mediansize" "std_mediansize" "cv_mediansize" "median_mediansize" "excess_mass" "modes_p_value" "unimode" "first_mode" "second_mode" "betaslope" "betaslope_ci_inf" "betaslope_ci_sup"
"Argo 2017__2017-11-16" "Argo 2017" "2017-11-16" -14.7029966773535 118.806902026643 0.0907834541156625 0.122829072098474 1.35298963115001 0.046072735145609 4 0.00147727320694399 0.00127618180374529 0.863876632803289 0.0012141030549229 0.000389423150559572 0.00026102701963743 0.670291479236286 0.000395540364959259 0.111584910852395 0 0.000541080880040345 0.000432743708993384 0.266028175330214 -1.14543085087476 -1.17318085087476 -1.11810085087476
"Argo 2017__2017-11-17" "Argo 2017" "2017-11-17" -15.3315724843359 118.700918527344 12.9519120660336 25.90061642479 1.99975233716375 0.00228584784153709 4 0.0958008278696395 0.190550478062923 1.98902746771889 0.000741617814846486 0.000510422233450643 0.000474718408149641 0.930050411284731 0.000471174410484762 0.156608230557633 0 0.0321778025470607 0.0340034254965769 51.802511870245 -1.07317264470491 -1.09888264470491 -1.04792264470491
"Argo 2017__2017-11-18" "Argo 2017" "2017-11-18" -15.3459930089401 118.015785082949 0.283856865517222 0.32062345076141 1.1295250871498 0.286271926326228 4 0.00741461358722901 0.00804770302209065 1.08538400921554 0.00662976951228495 0.000359531045505096 0.000119404464665408 0.332111694270127 0.000410637865777143 0.120432797784921 0 0.00116656229392303 0.000463391213678568 0.561491477281161 -1.38631741375516 -1.45166741375516 -1.32436741375516
"Argo 2018__2018-08-04" "Argo 2018" "2018-08-04" -14.6943961358868 118.820049056604 6.6729806157816 15.3419239044165 2.29911111507396 0.48796688506073 6 0.128305629955412 0.297561989293258 2.31916549099727 0.00620428597904513 0.00121706675721435 0.00102108393855725 0.838971184205478 0.00104286723784379 0.0773365568541831 0 0.00586392377860534 0.00474370860357176 37.978352521813 -1.23108739996284 -1.25692739996284 -1.20605739996284
"Argo 2018__2018-08-05" "Argo 2018" "2018-08-05" -15.07837941341 118.797394595785 0.179772978850411 0.32624541736671 1.8147633724097 0.0212612343051354 4 0.00457915037892709 0.00669911452160524 1.46296014920892 0.001653962363458 0.000661084288965125 0.00060530032067625 0.915617464792273 0.000512545004587142 0.137490257340362 0 0.00113010258503599 0.00112485984236285 0.668917037871955 -1.23315743575209 -1.27951743575209 -1.18833743575209
"Argo 2018__2018-08-06" "Argo 2018" "2018-08-06" -15.4567307429457 118.623000317829 0.762587212533365 1.39638860691933 1.83111988238097 0.0588037605967182 6 0.195088625662906 0.438844484174353 2.24946217486115 0.00590720714559179 0.253114418318968 0.617554881807084 2.4398249847184 0.00110511889900753 0.170542612568488 0 0.0166623678474158 0.0105675363435798 1.46546629387696 -1.03775418228818 -1.07298418228818 -1.00274418228818
"Argo 2018__2018-08-07" "Argo 2018" "2018-08-07" -15.2694146444898 118.034922762755 0.0317936921055335 0.0472621616390831 1.48652636762679 0.0167652556597077 6 0.00188933798865651 0.00124114343608382 0.656919748364548 0.00146065965527583 0.000491224304271373 0.000201023893436033 0.409230348922187 0.000467214986622531 0.0917902723242561 0 0.00145187482862626 0.00127744740170359 0.127315454828187 -1.11962692330986 -1.15850692330986 -1.08122692330986
"Argo 2018__2018-08-08" "Argo 2018" "2018-08-08" -15.7678205559209 118.05140687548 1.4679821491562 2.79267634965948 1.90239121862941 0.100713629593063 4 0.0292728740053942 0.0555691989137682 1.89831715545007 0.00194295557435225 0.000871694239282713 0.000521948161712237 0.598774361686422 0.000693817832808787 0.168354723535527 0 0.00258686991670043 0.00161685880506179 5.65532322503058 -1.1500023489669 -1.1687223489669 -1.1315623489669
"Argo 2018__2018-08-09" "Argo 2018" "2018-08-09" -15.9680109194419 118.573793368778 4.37128565130217 6.58996458417636 1.507557526517 0.250124495265993 6 0.24202506733728 0.479678963625798 1.98193918052848 0.00358645289077948 0.0021045233984347 0.00260497161225987 1.23779645985281 0.00150680090632172 0.129642608116805 0 0.00327311883304482 0.00319869230771497 12.7873632923543 -1.12324219531676 -1.14295219531676 -1.10383219531676
"Argo 2018__2018-08-10" "Argo 2018" "2018-08-10" -16.2074417671097 118.731997573416 0.181780314544311 0.252295859349652 1.38791628775707 0.0918154366915666 4 0.00143563728367337 0.00131359493535664 0.914990819962221 0.00113584794805569 0.000676772075609541 0.000594826927057168 0.878917657058222 0.000538017441470773 0.217413408738931 0 0.00119453758411953 0.00110346283853549 0.541618637092937 -1.18145827678066 -1.20982827678066 -1.15354827678066
"Ascension Gov 2017__2017-01-16" "Ascension Gov 2017" "2017-01-16" -7.93516142857143 -14.6759838095238 0.00365180841529555 NA NA 0.00365180841529555 1 0.000380765524321221 NA NA 0.000380765524321221 7.67337481010077e-05 NA NA 7.67337481010077e-05 0.125642985140148 0.418 8.29631522537653e-05 NA NA -1.29608578408447 -1.58652578408447 -1.02859578408447
"Ascension Gov 2017__2017-01-17" "Ascension Gov 2017" "2017-01-17" -8.24339857142857 -14.3626197959184 82.4504494160945 135.027600519529 1.63768180132165 9.07006364538711 3 2.47315097544811 3.02167754730793 1.22179259467184 1.57709928500823 0.00100566045468696 0.000443843449719267 0.441345235015156 0.000892578403404965 0.0788697434698874 0.05 1.06592007491554 NA NA -1.13539343218202 -1.18361343218202 -1.08949343218202
