ID lat_in lon_in beta_slope inf_CI sup_CI number_of_BRUVS
"1" -20.6650707306141 116.427350395936 -1.1379986282111 -1.1439986282111 -1.1319986282111 44
"2" -20.5171217468806 116.581392335116 -1.06288689316044 -1.07288689316044 -1.05288689316044 32
"3" -20.3294641563394 116.465718303146 -0.926878012008345 -0.941878012008345 -0.911878012008344 20
"4" -20.0968299574694 116.399395108985 -1.07257391222776 -1.07957391222776 -1.06557391222776 38
"5" -20.4508152758133 116.529263507779 -1.11318624973992 -1.13518624973992 -1.09118624973992 10
"6" -21.8937855654762 114.160450297619 -1.14372410415762 -1.16672410415762 -1.12072410415762 20
"7" -22.3321703979174 114.189610710301 -1.17022191149111 -1.18122191149111 -1.15922191149111 49
"8" -22.1085048833819 114.486945991254 -1.24915211667832 -1.26815211667832 -1.23015211667832 37
"9" -22.3440198032787 114.174775213115 -1.20391518431476 -1.21991518431476 -1.18791518431476 34
"10" -22.0243057268722 114.448775770925 -1.10463784284412 -1.15563784284412 -1.05463784284412 13
"11" -21.9479 114.4188 -0.993628698548986 -1.03762869854899 -0.949628698548985 1
"12" -21.6123114864644 114.28066289591 -1.10157991703236 -1.12357991703236 -1.08057991703236 20
"13" -20.893524964327 115.191309129889 -1.11186521519363 -1.12286521519363 -1.10186521519363 27
"14" -21.4301991424763 114.746451429083 -1.0316391163657 -1.0496391163657 -1.0136391163657 29
"15" -20.7382159967426 115.230988560666 -1.25617514532075 -1.26617514532075 -1.24617514532075 30
"16" -20.2751323197721 115.306687977388 -0.856352923218426 -0.871352923218428 -0.841352923218427 26
"17" -20.6269384258706 116.426765181144 -1.09868399468353 -1.10868399468352 -1.08868399468352 15
"18" -21.7891579119691 114.148014029472 -1.06501711242841 -1.0720171124284 -1.0580171124284 24
"19" -20.5943621644216 116.461960155784 -1.06603651523897 -1.08103651523897 -1.05103651523897 18
"20" -20.4121033238487 116.823105810197 -0.982395402176493 -0.998395402176492 -0.966395402176492 12
"21" -20.9025029381188 115.91597858474 -1.21128364183935 -1.21928364183935 -1.20328364183935 26
"22" -21.7440493375175 114.269285800467 -1.07727341920193 -1.08427341920192 -1.07027341920192 34
"23" -21.5595488911908 114.728338090219 -1.0542752294355 -1.0592752294355 -1.0492752294355 31
"24" -21.4614133733584 114.932258158366 -1.14394363499454 -1.14994363499454 -1.13794363499454 27
"25" -21.6488197600109 114.493074854634 -1.06257468179409 -1.06857468179409 -1.05657468179409 26
"26" -21.3246701341997 115.099209510988 -1.09614964814812 -1.10314964814812 -1.08914964814812 27
"27" -21.1448215316551 115.616657916765 -1.09058672055589 -1.10158672055589 -1.07958672055589 27
"28" -9.88232367191456 143.304815690347 -1.02316589887551 -1.04116589887551 -1.00516589887551 13
"29" -10.0087318082664 143.549296221384 -1.16506690554401 -1.18206690554401 -1.14806690554401 14
"30" -9.9494275171018 143.293408628381 -1.08001851568811 -1.09701851568811 -1.06301851568811 14
"31" -11.5644711639558 143.000019456424 -0.952976995839278 -0.977976995839278 -0.927976995839277 15
"32" -11.253206899884 142.907517099681 -1.03739099009828 -1.06439099009828 -1.01039099009828 16
"33" -11.5206865587045 143.007385290148 -0.852351830239564 -0.876351830239564 -0.828351830239562 16
"34" -9.96343306953839 143.388382317669 -1.14449521563453 -1.15649521563454 -1.13249521563453 15
"35" -10.71676103624 143.96771075118 -1.05004944470634 -1.06004944470633 -1.04004944470633 16
"36" -12.2444591954023 143.224977586207 -1.1632982491814 -1.2112982491814 -1.1162982491814 14
"37" -11.9650430400619 143.266735384353 -1.0136829266029 -1.0676829266029 -0.959682926602902 7
"38" -10.76410908021 143.973182270505 -1.10453124629237 -1.11753124629237 -1.09153124629237 17
"39" -10.06003635153 143.777880866084 -1.05159250536898 -1.06359250536898 -1.03959250536898 12
"40" -10.7362053291307 143.972101672892 -1.01863062026685 -1.02863062026685 -1.00863062026685 17
"41" -11.7408872672152 142.973851028758 -0.917954225025492 -1.05995422502549 -0.773954225025491 6
"42" -10.002099949904 143.530748753902 -1.14996771965018 -1.16896771965018 -1.13196771965018 17
"43" -10.147757060858 143.623581145015 -1.05650787595235 -1.06850787595235 -1.04450787595234 18
