"string","exped","Location","Sublocation","use","grounded","Date","Year","Month","lon_in","lat_in","time_in","empty"
"AIG_01","Ascension Gov 2017","Ascension","Ascension Island","Yes","no",2017-01-16,2017,"01",-14.67292,-7.93593,"15:53:00","no"
"AIG_02","Ascension Gov 2017","Ascension","Ascension Island","Yes","no",2017-01-17,2017,"01",-14.36426,-8.40801,"08:27:00","no"
"AIG_03","Ascension Gov 2017","Ascension","Ascension Island","Yes","no",2017-01-17,2017,"01",-14.36346,-8.20034,"12:37:00","no"
"AIG_04","Ascension Gov 2017","Ascension","Ascension Island","Yes","no",2017-01-17,2017,"01",-14.36606,-8.06027,"16:38:00","no"
"AIG_05","Ascension Gov 2017","Ascension","Ascension Island","Yes","no",2017-01-18,2017,"01",-13.87862,-7.94084,"08:20:00","no"
"AIG_06","Ascension Gov 2017","Ascension","Ascension Island","Yes","no",2017-01-18,2017,"01",-14.08207,-7.93895,"12:26:00","no"
"AIG_07","Ascension Gov 2017","Ascension","Ascension Island","Yes","no",2017-01-18,2017,"01",-14.22918,-7.93789,"16:25:00","no"
"AIG_08","Ascension Gov 2017","Ascension","Ascension Island","Yes","no",2017-01-19,2017,"01",-14.44146,-7.92926,"08:33:00","no"
"AIG_09","Ascension Gov 2017","Ascension","Ascension Island","Yes","no",2017-01-21,2017,"01",-14.3635,-8.00049,"12:05:00","no"
"AIG_10","Ascension Gov 2017","Ascension","Ascension Island","Yes","no",2017-01-21,2017,"01",-14.28021,-7.94079,"15:06:00","no"
"AIG_11","Ascension Gov 2017","Ascension","Random","Yes","no",2017-01-22,2017,"01",-12.31668,-7.55365,"08:44:00","yes"
"AIG_12","Ascension Gov 2017","Ascension","Random","Yes","no",2017-01-22,2017,"01",-11.64179,-7.42685,"16:12:00","no"
"AIG_13","Ascension Gov 2017","Ascension","Random","Yes","no",2017-01-23,2017,"01",-10.99189,-8.46287,"08:51:00","no"
"AIG_14","Ascension Gov 2017","Ascension","Random","Yes","no",2017-01-23,2017,"01",-11.14625,-9.10462,"16:02:00","no"
"AIG_15","Ascension Gov 2017","Ascension","Random","Yes","no",2017-01-24,2017,"01",-11.00315,-7.32699,"08:54:00","no"
"AIG_16","Ascension Gov 2017","Ascension","Random","Yes","no",2017-01-24,2017,"01",-11.38123,-6.77285,"16:27:00","no"
"AIG_17","Ascension Gov 2017","Ascension","Random","Yes","no",2017-01-25,2017,"01",-12.39077,-8.19286,"08:36:00","no"
"AIG_18","Ascension Gov 2017","Ascension","Random","Yes","no",2017-01-25,2017,"01",-13.13347,-8.50684,"16:33:00","no"
"AIG_19","Ascension Gov 2017","Ascension","Grattan Seamount","Yes","no",2017-01-26,2017,"01",-12.81943,-9.7388,"08:44:00","no"
"AIG_20","Ascension Gov 2017","Ascension","Young Seamount (formerly Unnamed)","Yes","no",2017-01-26,2017,"01",-12.09892,-9.7553,"16:48:00","no"
"AIG_21","Ascension Gov 2017","Ascension","Random","Yes","no",2017-01-27,2017,"01",-12.86678,-10.7371,"08:34:00","no"
"AIG_22","Ascension Gov 2017","Ascension","Random","Yes","no",2017-01-27,2017,"01",-13.35948,-11.04619,"16:12:00","yes"
"AIG_23","Ascension Gov 2017","Ascension","Random","Yes","no",2017-01-28,2017,"01",-14.95764,-10.29931,"08:36:00","yes"
"AIG_24","Ascension Gov 2017","Ascension","Random","Yes","no",2017-01-28,2017,"01",-15.23923,-9.6394,"16:32:00","no"
"AIG_25","Ascension Gov 2017","Ascension","Random","Yes","no",2017-01-29,2017,"01",-14.76361,-8.54172,"08:36:00","no"
"AIG_26","Ascension Gov 2017","Ascension","Ascension Island","Yes","no",2017-01-29,2017,"01",-14.84724,-7.94403,"16:31:00","no"
"AIG_27","Ascension Gov 2017","Ascension","Ascension Island","Yes","no",2017-01-30,2017,"01",-14.49183,-7.93984,"08:34:00","no"
"AIG_28","Ascension Gov 2017","Ascension","Ascension Island","Yes","no",2017-01-31,2017,"01",-14.38243,-7.81043,"16:26:00","no"
"AIG_29","Ascension Gov 2017","Ascension","Random","Yes","no",2017-02-01,2017,"02",-12.06387,-7.93274,"12:01:00","no"
"AIG_30","Ascension Gov 2017","Ascension","Random","Yes","no",2017-02-02,2017,"02",-11.16941,-7.938,"11:30:00","no"
"AIG_31","Ascension Gov 2017","Ascension","Random","Yes","no",2017-02-03,2017,"02",-11.65434,-6.13113,"08:36:00","no"
"AIG_32","Ascension Gov 2017","Ascension","Random","Yes","no",2017-02-03,2017,"02",-11.836,-5.91772,"13:00:00","no"
"AIG_33","Ascension Gov 2017","Ascension","Random","Yes","no",2017-02-04,2017,"02",-13.31065,-4.89075,"08:34:00","no"
"AIG_34","Ascension Gov 2017","Ascension","Random","Yes","no",2017-02-05,2017,"02",-14.4363,-6.17956,"08:34:00","no"
"AIG_35","Ascension Gov 2017","Ascension","Random","Yes","no",2017-02-05,2017,"02",-14.06748,-6.43809,"16:03:00","yes"
"AIG_36","Ascension Gov 2017","Ascension","Ascension Island","Yes","no",2017-02-06,2017,"02",-14.4101,-7.46018,"08:35:00","no"
"AIG_37","Ascension Gov 2017","Ascension","Ascension Island","Yes","no",2017-02-07,2017,"02",-14.3933,-7.67456,"16:26:00","no"
"AIG_38","Ascension Gov 2017","Ascension","Random","Yes","no",2017-02-08,2017,"02",-15.55638,-6.41187,"08:31:00","no"
"AIG_39","Ascension Gov 2017","Ascension","Random","Yes","no",2017-02-08,2017,"02",-15.75977,-6.90617,"16:33:00","no"
"AIG_40","Ascension Gov 2017","Ascension","Random","Yes","no",2017-02-09,2017,"02",-16.3319,-5.46521,"08:32:00","no"
"AIG_41","Ascension Gov 2017","Ascension","Random","Yes","no",2017-02-09,2017,"02",-16.75996,-5.6813,"16:07:00","no"
"AIG_42","Ascension Gov 2017","Ascension","Random","Yes","no",2017-02-10,2017,"02",-17.37498,-6.80726,"08:35:00","no"
"AIG_43","Ascension Gov 2017","Ascension","Random","Yes","no",2017-02-10,2017,"02",-17.06857,-7.05189,"16:07:00","no"
"AIG_44","Ascension Gov 2017","Ascension","Harris-Stewart Seamount","Yes","no",2017-02-11,2017,"02",-17.05253,-8.44649,"08:49:00","no"
"AIG_45","Ascension Gov 2017","Ascension","Random","Yes","no",2017-02-11,2017,"02",-16.72305,-8.57699,"14:37:00","yes"
"AIG_46","Ascension Gov 2017","Ascension","Random","Yes","no",2017-02-12,2017,"02",-16.40818,-9.58029,"12:02:00","no"
"AIG_47","Ascension Gov 2017","Ascension","Random","Yes","no",2017-02-13,2017,"02",-13.75607,-10.06278,"14:04:00","no"
"AIG_48","Ascension Gov 2017","Ascension","Random","Yes","no",2017-02-14,2017,"02",-13.6191,-8.95844,"10:26:00","no"
"AIG_49","Ascension Gov 2017","Ascension","Ascension Island","Yes","no",2017-02-15,2017,"02",-14.40625,-7.85706,"11:15:00","yes"
"AIG_50","Ascension Gov 2017","Ascension","Harris-Stewart Seamount","Yes","no",2017-05-19,2017,"05",-17.42907,-8.43404,"08:09:00","no"
"AIG_51","Ascension Gov 2017","Ascension","Harris-Stewart Seamount","Yes","no",2017-05-19,2017,"05",-17.1471,-8.43484,"12:37:00","no"
"AIG_52","Ascension Gov 2017","Ascension","Harris-Stewart Seamount","Yes","no",2017-05-19,2017,"05",-17.06373,-8.43507,"15:46:00","no"
"AIG_53","Ascension Gov 2017","Ascension","Harris-Stewart Seamount","Yes","no",2017-05-20,2017,"05",-17.24877,-8.43681,"09:10:00","yes"
"AIG_54","Ascension Gov 2017","Ascension","Harris-Stewart Seamount","Yes","no",2017-05-20,2017,"05",-17.09586,-8.43792,"12:55:00","no"
"AIG_55","Ascension Gov 2017","Ascension","Harris-Stewart Seamount","Yes","no",2017-05-20,2017,"05",-17.00965,-8.43704,"16:05:00","yes"
"AIG_56","Ascension Gov 2017","Ascension","Harris-Stewart Seamount","Yes","no",2017-05-21,2017,"05",-16.87914,-8.43631,"08:05:00","no"
"AIG_57","Ascension Gov 2017","Ascension","Harris-Stewart Seamount","Yes","no",2017-05-21,2017,"05",-17.12637,-8.43501,"12:26:00","yes"
"AIG_58","Ascension Gov 2017","Ascension","Harris-Stewart Seamount","Yes","no",2017-05-21,2017,"05",-17.04021,-8.43506,"15:39:00","yes"
"AIG_59","Ascension Gov 2017","Ascension","Harris-Stewart Seamount","Yes","no",2017-05-22,2017,"05",-16.9737,-8.43675,"12:51:00","no"
"AIG_60","Ascension Gov 2017","Ascension","Harris-Stewart Seamount","Yes","no",2017-05-23,2017,"05",-16.70839,-8.43489,"11:03:00","yes"
"AIG_61","Ascension Gov 2017","Ascension","Grattan Seamount","Yes","no",2017-05-25,2017,"05",-13.18214,-9.73092,"08:03:00","no"
"AIG_62","Ascension Gov 2017","Ascension","Grattan Seamount","Yes","no",2017-05-25,2017,"05",-12.99759,-9.7317,"12:17:00","yes"
"AIG_63","Ascension Gov 2017","Ascension","Grattan Seamount","Yes","no",2017-05-25,2017,"05",-12.85607,-9.74043,"16:08:00","no"
"AIG_64","Ascension Gov 2017","Ascension","Grattan Seamount","Yes","no",2017-05-26,2017,"05",-12.45137,-9.74746,"08:04:00","no"
"AIG_65","Ascension Gov 2017","Ascension","Grattan Seamount","Yes","no",2017-05-26,2017,"05",-12.63379,-9.74328,"12:06:00","yes"
"AIG_66","Ascension Gov 2017","Ascension","Grattan Seamount","Yes","no",2017-05-26,2017,"05",-12.71614,-9.74222,"15:34:00","no"
"AIG_67","Ascension Gov 2017","Ascension","Grattan Seamount","Yes","no",2017-05-27,2017,"05",-12.90761,-9.73886,"08:06:00","no"
"AIG_68","Ascension Gov 2017","Ascension","Grattan Seamount","Yes","no",2017-05-27,2017,"05",-12.83619,-9.74065,"11:39:00","no"
"AIG_69","Ascension Gov 2017","Ascension","Grattan Seamount","Yes","no",2017-05-27,2017,"05",-12.74828,-9.74144,"15:51:00","yes"
"AIG_70","Ascension Gov 2017","Ascension","Grattan Seamount","Yes","no",2017-05-28,2017,"05",-12.81717,-9.73773,"08:06:00","no"
"AIG_71","Ascension Gov 2017","Ascension","Grattan Seamount","Yes","no",2017-05-28,2017,"05",-12.79046,-9.73803,"11:59:00","no"
"AIG_72","Ascension Gov 2017","Ascension","Grattan Seamount","Yes","no",2017-05-28,2017,"05",-12.81658,-9.71509,"16:06:00","no"
"AIG_73","Ascension Gov 2017","Ascension","Young Seamount (formerly Unnamed)","Yes","no",2017-05-29,2017,"05",-12.267,-9.75061,"08:05:00","no"
"AIG_74","Ascension Gov 2017","Ascension","Young Seamount (formerly Unnamed)","Yes","no",2017-05-29,2017,"05",-12.16908,-9.74858,"12:01:00","no"
"AIG_75","Ascension Gov 2017","Ascension","Young Seamount (formerly Unnamed)","Yes","no",2017-05-29,2017,"05",-12.11348,-9.75591,"16:02:00","no"
"AIG_76","Ascension Gov 2017","Ascension","Young Seamount (formerly Unnamed)","Yes","no",2017-05-30,2017,"05",-12.13534,-9.75203,"07:59:00","yes"
"AIG_77","Ascension Gov 2017","Ascension","Young Seamount (formerly Unnamed)","Yes","no",2017-06-03,2017,"06",-11.72354,-9.76498,"08:13:00","yes"
"AIG_78","Ascension Gov 2017","Ascension","Young Seamount (formerly Unnamed)","Yes","no",2017-06-03,2017,"06",-11.90446,-9.76212,"12:13:00","yes"
"AIG_79","Ascension Gov 2017","Ascension","Young Seamount (formerly Unnamed)","Yes","no",2017-06-03,2017,"06",-12.05426,-9.76165,"16:03:00","no"
"AIG_80","Ascension Gov 2017","Ascension","Young Seamount (formerly Unnamed)","Yes","no",2017-06-04,2017,"06",-12.02147,-9.75715,"07:58:00","no"
"AIG_81","Ascension Gov 2017","Ascension","Young Seamount (formerly Unnamed)","Yes","no",2017-06-04,2017,"06",-11.99626,-9.75681,"10:48:00","no"
"AIG_82","Ascension Gov 2017","Ascension","Young Seamount (formerly Unnamed)","Yes","no",2017-06-04,2017,"06",-12.08608,-9.75928,"14:34:00","no"
"AIG18_01","Ascension Gov 2018","Ascension","Front","Yes","no",2018-01-19,2018,"01",-12.23499,-6.2215,"08:58:00","no"
"AIG18_02","Ascension Gov 2018","Ascension","Front","Yes","no",2018-01-19,2018,"01",-12.37979,-5.87876,"15:44:00","yes"
"AIG18_03","Ascension Gov 2018","Ascension","Random","Yes","no",2018-01-20,2018,"01",-13.14223,-5.86754,"15:32:00","yes"
