"Exped" "Date" "mean_lat" "mean_long" "betaslope" "betaslope_ci_inf" "betaslope_ci_sup" "BRUVS_number"
"1" "Dampier Stereo_2015" "2015-09-12" -20.6650707306141 116.427350395936 -1.1379986282111 -1.1444386282111 -1.1315886282111 44
"2" "Dampier Stereo_2015" "2015-09-13" -20.5171217468806 116.581392335116 -1.06288689316044 -1.07354689316044 -1.05227689316044 32
"3" "Dampier Transect_2015" "2015-09-10" -20.3294641563394 116.465718303146 -0.926878012008345 -0.942238012008345 -0.911408012008345 20
"4" "Dampier Transect_2015" "2015-09-11" -20.0968299574694 116.399395108985 -1.07257391222776 -1.08048391222776 -1.06469391222776 38
"5" "Dampier Transect_2015" "2015-09-13" -20.4508152758133 116.529263507779 -1.11318624973992 -1.13546624973992 -1.09115624973992 10
"6" "Exmouth Gulf_2015" "2015-08-29" -21.8937855654762 114.160450297619 -1.14372410415762 -1.16759410415762 -1.12020410415762 20
"7" "Exmouth Gulf_2015" "2015-08-30" -22.3321703979174 114.189610710301 -1.17022191149111 -1.18211191149111 -1.15844191149111 49
"8" "Exmouth Gulf_2015" "2015-09-01" -22.1085048833819 114.486945991254 -1.24915211667832 -1.26906211667832 -1.22956211667832 37
"9" "Exmouth Gulf_2015" "2015-08-31" -22.3440198032787 114.174775213115 -1.20391518431476 -1.22042518431476 -1.18762518431476 34
"10" "Exmouth Gulf_2015" "2015-09-02" -22.0243057268722 114.448775770925 -1.10463784284412 -1.15584784284412 -1.05414784284412 13
"11" "Exmouth Gulf_2015" "2015-09-04" -21.9479 114.4188 -0.993628698548986 -1.03762869854899 -0.949588698548985 1
"12" "Exmouth to Dampier Deep_2014" "2014-10-24" -21.6123114864644 114.28066289591 -1.10157991703236 -1.12363991703236 -1.07972991703236 20
"13" "Exmouth to Dampier Deep_2014" "2014-10-26" -20.893524964327 115.191309129889 -1.11186521519363 -1.12289521519363 -1.10090521519363 27
"14" "Exmouth to Dampier Deep_2014" "2014-10-25" -21.4301991424763 114.746451429083 -1.0316391163657 -1.0498891163657 -1.0134391163657 29
"15" "Exmouth to Dampier Deep_2014" "2014-10-27" -20.7382159967426 115.230988560666 -1.25617514532075 -1.26702514532075 -1.24543514532075 30
"16" "Exmouth to Dampier Deep_2014" "2014-10-28" -20.2751323197721 115.306687977388 -0.856352923218426 -0.871942923218426 -0.840552923218426 26
"17" "Exmouth to Dampier Shallow_2014" "2014-05-07" -20.6269384258706 116.426765181144 -1.09868399468353 -1.10895399468353 -1.08849399468353 15
"18" "Exmouth to Dampier Shallow_2014" "2014-05-15" -21.7891579119691 114.148014029472 -1.06501711242841 -1.07233711242841 -1.05771711242841 24
"19" "Exmouth to Dampier Shallow_2014" "2014-04-06" -20.5943621644216 116.461960155784 -1.06603651523897 -1.08196651523897 -1.05018651523897 18
"20" "Exmouth to Dampier Shallow_2014" "2014-05-06" -20.4121033238487 116.823105810197 -0.982395402176493 -0.998575402176493 -0.966195402176493 12
"21" "Exmouth to Dampier Shallow_2014" "2014-05-08" -20.9025029381188 115.91597858474 -1.21128364183935 -1.21963364183935 -1.20302364183935 26
"22" "Exmouth to Dampier Shallow_2014" "2014-05-14" -21.7440493375175 114.269285800467 -1.07727341920193 -1.08471341920193 -1.06985341920193 34
"23" "Exmouth to Dampier Shallow_2014" "2014-05-12" -21.5595488911908 114.728338090219 -1.0542752294355 -1.0598552294355 -1.0487052294355 31
"24" "Exmouth to Dampier Shallow_2014" "2014-05-11" -21.4614133733584 114.932258158366 -1.14394363499454 -1.15089363499454 -1.13703363499454 27
"25" "Exmouth to Dampier Shallow_2014" "2014-05-13" -21.6488197600109 114.493074854634 -1.06257468179409 -1.06902468179409 -1.05614468179409 26
"26" "Exmouth to Dampier Shallow_2014" "2014-05-10" -21.3246701341997 115.099209510988 -1.09614964814812 -1.10374964814812 -1.08858964814812 27
"27" "Exmouth to Dampier Shallow_2014" "2014-05-09" -21.1448215316551 115.616657916765 -1.09058672055589 -1.10221672055589 -1.07902672055589 27
"28" "FNQ_2017_06" "2017-06-15" -9.88232367191456 143.304815690347 -1.02316589887551 -1.04198589887551 -1.00439589887551 13
"29" "FNQ_2017_06" "2017-06-20" -10.0087318082664 143.549296221384 -1.16506690554401 -1.18302690554401 -1.14737690554401 14
"30" "FNQ_2017_06" "2017-06-14" -9.9494275171018 143.293408628381 -1.08001851568811 -1.09737851568811 -1.06275851568811 14
"31" "FNQ_2017_06" "2017-06-10" -11.5644711639558 143.000019456424 -0.952976995839278 -0.978086995839278 -0.927686995839278 15
"32" "FNQ_2017_06" "2017-06-12" -11.253206899884 142.907517099681 -1.03739099009828 -1.06491099009828 -1.00999099009828 16
"33" "FNQ_2017_06" "2017-06-11" -11.5206865587045 143.007385290148 -0.852351830239564 -0.876481830239564 -0.827901830239564 16
"34" "FNQ_2017_06" "2017-06-13" -9.96343306953839 143.388382317669 -1.14449521563453 -1.15724521563453 -1.13186521563453 15
"35" "FNQ_2017_06" "2017-06-18" -10.71676103624 143.96771075118 -1.05004944470634 -1.06061944470634 -1.03950944470634 16
"36" "FNQ_2017_06" "2017-06-07" -12.2444591954023 143.224977586207 -1.1632982491814 -1.2119982491814 -1.1161382491814 14
"37" "FNQ_2017_06" "2017-06-08" -11.9650430400619 143.266735384353 -1.0136829266029 -1.0680329266029 -0.959502926602904 7
"38" "FNQ_2017_06" "2017-06-16" -10.76410908021 143.973182270505 -1.10453124629237 -1.11831124629237 -1.09083124629237 17
"39" "FNQ_2017_06" "2017-06-19" -10.06003635153 143.777880866084 -1.05159250536898 -1.06406250536898 -1.03917250536898 12
"40" "FNQ_2017_06" "2017-06-17" -10.7362053291307 143.972101672892 -1.01863062026685 -1.02889062026685 -1.00838062026685 17
"41" "FNQ_2017_06" "2017-06-09" -11.7408872672152 142.973851028758 -0.917954225025492 -1.06038422502549 -0.773034225025492 6
"42" "FNQ_2017_11" "2017-11-28" -10.002099949904 143.530748753902 -1.14996771965018 -1.16904771965018 -1.13118771965018 17
"43" "FNQ_2017_11" "2017-11-29" -10.147757060858 143.623581145015 -1.05650787595235 -1.06884787595235 -1.04422787595235 18
"44" "FNQ_2017_11" "2017-12-04" -12.2463558196497 143.214865093949 -1.04835955920988 -1.06926955920988 -1.02756955920988 20
"45" "FNQ_2017_11" "2017-12-05" -12.2521318072435 143.242499484549 -1.15159539624649 -1.17515539624649 -1.12833539624649 19
"46" "FNQ_2017_11" "2017-12-06" -13.5037776714835 143.733723972527 -0.996596151769445 -1.01832615176944 -0.974856151769445 20
"47" "FNQ_2017_11" "2017-12-01" -11.4545560126781 143.043292096296 -1.02127997206884 -1.03210997206884 -1.01046997206884 20
"48" "FNQ_2017_11" "2017-12-02" -11.5400802157633 143.027649559533 -0.988130343306208 -1.00029034330621 -0.975950343306207 20
"49" "FNQ_2017_11" "2017-12-03" -11.5994210264602 142.940515678693 -0.962125022530649 -0.976285022530649 -0.947925022530649 20
"50" "FNQ_2017_11" "2017-11-30" -10.1904187321646 143.676284461669 -0.996504886044404 -1.0085748860444 -0.984434886044404 15
"51" "FNQ_2018" "2018-04-27" -12.2422727252078 143.206859800978 -1.14702181440634 -1.16083181440634 -1.13332181440634 19
