"Exped" "Date" "mean lat" "mean long" "beta_slope" "inf CI" "sup CI" "String Number"
"Chagos 2016" "2016-02-10" -5.41431208545454 72.3777510590616 -1.22614070156043 -1.25109070156043 -1.20177070156043 4
"Chagos 2016" "2016-02-15" -5.67914409486486 71.3645987762162 -1.21514194944717 -1.35331194944717 -1.08660194944717 2
"Chagos 2016" "2016-02-07" -7.13182858771552 72.2030696539224 -0.853535247423667 -0.886975247423667 -0.819035247423667 2
"Chagos 2016" "2016-02-09" -5.40762230903272 72.3508403531294 -1.27289931907204 -1.30158931907204 -1.24490931907204 4
"Chagos 2016" "2016-02-20" -6.31766368777778 72.1754451877778 -1.22155882693297 -1.33275882693297 -1.11876882693297 4
"Chagos 2016" "2016-02-21" -7.17352071941748 72.1049688339806 -0.835990548708676 -0.883710548708676 -0.785510548708676 4
"Chagos 2016" "2016-02-18" -6.60124490196078 71.340272745098 -1.17586885772462 -1.24417885772462 -1.11040885772462 4
"Chagos 2016" "2016-02-12" -5.53405298245614 71.9817919298246 -1.12358373351298 -1.22288373351298 -1.02771373351298 2
"Chagos 2016" "2016-02-13" -5.51434049707581 71.9445262371119 -1.41210069248951 -1.47153069248951 -1.35558069248951 4
"Montebellos 2018" "2018-08-20" -20.0905667368947 115.671780572556 -1.23979337223777 -1.25567337223777 -1.22425337223777 4
"Montebellos 2018" "2018-08-23" -20.2329502220561 115.758922691589 -1.35311942275516 -1.40729942275516 -1.30238942275516 1
"Montebellos 2018" "2018-08-22" -19.8355683313889 115.817284975694 -1.13694837946451 -1.17069837946451 -1.10396837946451 4
"Montebellos 2018" "2018-08-18" -20.4888290329786 115.145064553526 -1.20363910518155 -1.21750910518155 -1.18999910518155 6
"Montebellos 2018" "2018-08-19" -20.1658749289976 115.44849479952 -1.24479927455157 -1.25891927455157 -1.23096927455157 5
"Montebellos 2018" "2018-08-21" -19.8208852730932 115.574436381356 -1.14514968068059 -1.18036968068059 -1.11094968068059 4
"Montebellos 2018" "2018-08-15" -19.6678711409759 115.324797611446 -1.1363274878028 -1.1520874878028 -1.1208474878028 6
"Montebellos 2018" "2018-08-17" -20.2959223422222 115.047637754902 -1.08515798861704 -1.12147798861704 -1.04971798861704 4
"Montebellos 2018" "2018-08-16" -20.0483347373117 115.00299144904 -1.17987149387958 -1.20007149387958 -1.16013149387958 6
"Ningaloo 2018" "2018-07-27" -21.841575839273 113.802077150709 -1.12733565513596 -1.14508565513596 -1.10996565513596 4
"Ningaloo 2018" "2018-07-25" -21.5864760824742 114.21508371134 -1.05269805142159 -1.07067805142159 -1.03488805142159 3
"Ningaloo 2018" "2018-07-26" -21.9306399867568 113.766861301455 -1.12023160941685 -1.13347160941685 -1.10720160941685 4
"Ningaloo 2018" "2018-07-30" -21.7624657133333 113.833547508333 -1.11291102914248 -1.15464102914248 -1.07273102914248 4
"Ningaloo 2018" "2018-07-24" -22.0301698564593 113.754951674641 -1.18197800170419 -1.21398800170419 -1.15160800170419 4
"Ningaloo 2018" "2018-07-28" -21.6660284797619 114.137644595238 -0.976667733220056 -1.04848773322006 -0.903987733220056 1
"Wandoo spring 2018" "2018-09-18" -20.0567739130435 116.630039440994 -1.12328157318647 -1.15248157318647 -1.09471157318647 4
"Wandoo spring 2018" "2018-09-19" -20.0636105906314 116.64913401222 -1.54308835306657 -1.59361835306657 -1.49516835306657 4
"Wandoo spring 2018" "2018-09-06" -20.1421156626506 116.422521686747 -1.13967370590993 -1.20382370590993 -1.07827370590993 4
"Wandoo spring 2018" "2018-09-04" -20.1221631992603 116.426619001387 -1.32408584785879 -1.33957584785879 -1.30890584785879 3
"Wandoo spring 2018" "2018-09-17" -20.0864486631016 116.651804812834 -1.42640665063699 -1.49641665063699 -1.36116665063699 1
"Wandoo spring 2018" "2018-09-07" -20.1205594594595 116.458 -1.8081516625694 -1.9463716625694 -1.6833516625694 1
"Wandoo spring 2018" "2018-09-03" -20.1300434146341 116.436619512195 -1.10084055154064 -1.14203055154064 -1.06043055154064 1
"Ascension Gov 2017" "2017-01-17" -8.24339857142857 -14.3626197959184 -1.13539343218202 -1.18361343218202 -1.08949343218202 3
"Ascension Gov 2017" "2017-01-19" -7.92287321428571 -14.44238 -0.904840802856803 -1.0303908028568 -0.773950802856803 1
